[PokaPoka @ 99151ms/12s/1m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 776944ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(583-654)] with expected peak @ (x:583, y:100)
[PokaPoka @ 792386ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(580-644)] with expected peak @ (x:580, y:100)
[PokaPoka @ 808979ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(577-632)] with expected peak @ (x:577, y:100)
[PokaPoka @ 824494ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(574-618)] with expected peak @ (x:574, y:100)
[PokaPoka @ 840500ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(571-602)] with expected peak @ (x:571, y:100)
[PokaPoka @ 856931ms/11s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(568-584)] with expected peak @ (x:568, y:100)
[PokaPoka @ 255465ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-674)] with expected peak @ (x:595, y:100)
[PokaPoka @ 270483ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-674)] with expected peak @ (x:595, y:100)
[PokaPoka @ 287310ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-672)] with expected peak @ (x:595, y:100)
[PokaPoka @ 304508ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-668)] with expected peak @ (x:595, y:100)
[PokaPoka @ 321359ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-662)] with expected peak @ (x:595, y:100)
[PokaPoka @ 337461ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-654)] with expected peak @ (x:595, y:100)
[PokaPoka @ 354147ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595-644)] with expected peak @ (x:595, y:100)
[PokaPoka @ 371083ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(598-632)] with expected peak @ (x:598, y:100)
[PokaPoka @ 387226ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(601-618)] with expected peak @ (x:601, y:100)
[PokaPoka @ 403506ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(604-602)] with expected peak @ (x:604, y:100)
[PokaPoka @ 418934ms/12s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(604-584)] with expected peak @ (x:604, y:100)
[PokaPoka @ 775629ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(607-668)] with expected peak @ (x:607, y:100)
[PokaPoka @ 792331ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(610-668)] with expected peak @ (x:610, y:100)
[PokaPoka @ 808681ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(613-666)] with expected peak @ (x:613, y:100)
[PokaPoka @ 825577ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(616-662)] with expected peak @ (x:616, y:100)
[PokaPoka @ 841985ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(619-656)] with expected peak @ (x:619, y:100)
[PokaPoka @ 859222ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(622-648)] with expected peak @ (x:622, y:100)
[PokaPoka @ 874769ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(625-638)] with expected peak @ (x:625, y:100)
[PokaPoka @ 891214ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(628-626)] with expected peak @ (x:628, y:100)
[PokaPoka @ 906483ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(631-612)] with expected peak @ (x:631, y:100)
[PokaPoka @ 922894ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(631-596)] with expected peak @ (x:631, y:100)
[PokaPoka @ 938525ms/13s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(634-578)] with expected peak @ (x:634, y:100)
[PokaPoka @ 111337ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(676-668)] with expected peak @ (x:676, y:100)
[PokaPoka @ 127872ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(679-668)] with expected peak @ (x:679, y:100)
[PokaPoka @ 143609ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(682-666)] with expected peak @ (x:682, y:100)
[PokaPoka @ 160064ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(685-662)] with expected peak @ (x:685, y:100)
[PokaPoka @ 176377ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(688-656)] with expected peak @ (x:688, y:100)
[PokaPoka @ 193086ms/17s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(691-648)] with expected peak @ (x:691, y:100)
