[PokaPoka @ 50629ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(653.0-712)] with expected peak @ (x:653.0, y:100)
[PokaPoka @ 63598ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-703)] with expected peak @ (x:965, y:100)
[PokaPoka @ 63598ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(656.0-706)] with expected peak @ (x:656.0, y:100)
[PokaPoka @ 81151ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-677)] with expected peak @ (x:965, y:100)
[PokaPoka @ 81151ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(659.0-698)] with expected peak @ (x:659.0, y:100)
[PokaPoka @ 94092ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(194-200-224), size(50-50) @ pos(965-649)] with expected peak @ (x:965, y:100)
[PokaPoka @ 94092ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(662.0-688)] with expected peak @ (x:662.0, y:100)
[PokaPoka @ 108046ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-648)] with expected peak @ (x:679, y:100)
[PokaPoka @ 108046ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(665.0-676)] with expected peak @ (x:665.0, y:100)
[PokaPoka @ 123004ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-636)] with expected peak @ (x:679, y:100)
[PokaPoka @ 124002ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(668.0-662)] with expected peak @ (x:668.0, y:100)
[PokaPoka @ 139727ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-622)] with expected peak @ (x:679, y:100)
[PokaPoka @ 139727ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(671.0-646)] with expected peak @ (x:671.0, y:100)
[PokaPoka @ 153533ms/45s/49m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(230-245-167), size(50-50) @ pos(679-606)] with expected peak @ (x:679, y:100)
