[PokaPoka @ 418112ms/27s/10m/1h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 990906ms/27s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 455874ms/30s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 260865ms/32s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(2) --> removed from inventory
[PokaPoka @ 162278ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(537--38)] with expected peak @ (x:537, y:100)
[PokaPoka @ 176943ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540--94)] with expected peak @ (x:540, y:100)
[PokaPoka @ 190099ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(543--152)] with expected peak @ (x:543, y:100)
[PokaPoka @ 204064ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(546--212)] with expected peak @ (x:546, y:100)
[PokaPoka @ 218022ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(549--274)] with expected peak @ (x:549, y:100)
[PokaPoka @ 232991ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(552--338)] with expected peak @ (x:552, y:100)
[PokaPoka @ 246971ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(555--404)] with expected peak @ (x:555, y:100)
[PokaPoka @ 260936ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(558--472)] with expected peak @ (x:558, y:100)
[PokaPoka @ 273908ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(561--542)] with expected peak @ (x:561, y:100)
[PokaPoka @ 286839ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(564--614)] with expected peak @ (x:564, y:100)
[PokaPoka @ 301720ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(567--688)] with expected peak @ (x:567, y:100)
[PokaPoka @ 314647ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(570--764)] with expected peak @ (x:570, y:100)
[PokaPoka @ 329290ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(573--842)] with expected peak @ (x:573, y:100)
[PokaPoka @ 344248ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(576--922)] with expected peak @ (x:576, y:100)
[PokaPoka @ 359151ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(579--1004)] with expected peak @ (x:579, y:100)
[PokaPoka @ 373145ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(582--1088)] with expected peak @ (x:582, y:100)
[PokaPoka @ 387078ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(585--1174)] with expected peak @ (x:585, y:100)
[PokaPoka @ 401040ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(588--1262)] with expected peak @ (x:588, y:100)
[PokaPoka @ 419004ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(591--1352)] with expected peak @ (x:591, y:100)
[PokaPoka @ 432956ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(594--1444)] with expected peak @ (x:594, y:100)
[PokaPoka @ 446950ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(597--1538)] with expected peak @ (x:597, y:100)
[PokaPoka @ 460878ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600--1634)] with expected peak @ (x:600, y:100)
[PokaPoka @ 476800ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(603--1732)] with expected peak @ (x:603, y:100)
[PokaPoka @ 491761ms/37s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(606--1832)] with expected peak @ (x:606, y:100)
[PokaPoka @ 18108ms/38s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(648-718)] with expected peak @ (x:648, y:100)
[PokaPoka @ 31074ms/38s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(651-718)] with expected peak @ (x:651, y:100)
[PokaPoka @ 46458ms/38s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(654-716)] with expected peak @ (x:654, y:100)
