[PokaPoka @ 929903ms/56s/44m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 682788ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-526)] with expected peak @ (x:245, y:100)
[PokaPoka @ 714779ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-424)] with expected peak @ (x:280, y:100)
[PokaPoka @ 721760ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-512)] with expected peak @ (x:245, y:100)
[PokaPoka @ 751417ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-410)] with expected peak @ (x:280, y:100)
[PokaPoka @ 756450ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-496)] with expected peak @ (x:245, y:100)
[PokaPoka @ 783172ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-394)] with expected peak @ (x:280, y:100)
[PokaPoka @ 789702ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(213-0-243), size(50-50) @ pos(245-478)] with expected peak @ (x:245, y:100)
[PokaPoka @ 823729ms/15s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(247-45-32), size(50-50) @ pos(280-376)] with expected peak @ (x:280, y:100)
[PokaPoka @ 380703ms/16s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-622)] with expected peak @ (x:295, y:100)
[PokaPoka @ 418726ms/16s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-620)] with expected peak @ (x:295, y:100)
[PokaPoka @ 457715ms/16s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-616)] with expected peak @ (x:295, y:100)
[PokaPoka @ 492886ms/16s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-610)] with expected peak @ (x:295, y:100)
[PokaPoka @ 525616ms/16s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-602)] with expected peak @ (x:295, y:100)
[PokaPoka @ 562490ms/16s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(140-202-181), size(50-50) @ pos(295-592)] with expected peak @ (x:295, y:100)
