[PokaPoka @ 376403ms/29s/15m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 579013ms/30s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 6852ms/32s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 385660ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-718)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 399299ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(362.0-716)] with expected peak @ (x:362.0, y:100)
[PokaPoka @ 413267ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(359.0-712)] with expected peak @ (x:359.0, y:100)
[PokaPoka @ 427197ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(359.0-706)] with expected peak @ (x:359.0, y:100)
[PokaPoka @ 439166ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(359.0-698)] with expected peak @ (x:359.0, y:100)
[PokaPoka @ 453161ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(362.0-688)] with expected peak @ (x:362.0, y:100)
[PokaPoka @ 467607ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-676)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 483144ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(368.0-662)] with expected peak @ (x:368.0, y:100)
[PokaPoka @ 496560ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(371.0-646)] with expected peak @ (x:371.0, y:100)
[PokaPoka @ 509528ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(374.0-628)] with expected peak @ (x:374.0, y:100)
[PokaPoka @ 747197ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-657)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 761252ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-657)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 774217ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-655)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 788179ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-651)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 801145ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-645)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 815569ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-637)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 830119ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(443.0-627)] with expected peak @ (x:443.0, y:100)
[PokaPoka @ 843153ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(446.0-615)] with expected peak @ (x:446.0, y:100)
[PokaPoka @ 856051ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(449.0-601)] with expected peak @ (x:449.0, y:100)
[PokaPoka @ 869018ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(452.0-585)] with expected peak @ (x:452.0, y:100)
[PokaPoka @ 884152ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(455.0-567)] with expected peak @ (x:455.0, y:100)
[PokaPoka @ 898343ms/45s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(458.0-547)] with expected peak @ (x:458.0, y:100)
[PokaPoka @ 788761ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-718)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 801719ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-718)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 816712ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-716)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 830205ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-712)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 844135ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-706)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 858096ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-698)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 871059ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(497.0-688)] with expected peak @ (x:497.0, y:100)
[PokaPoka @ 885058ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(494.0-676)] with expected peak @ (x:494.0, y:100)
[PokaPoka @ 898897ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(491.0-662)] with expected peak @ (x:491.0, y:100)
[PokaPoka @ 912745ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(488.0-646)] with expected peak @ (x:488.0, y:100)
[PokaPoka @ 925720ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(485.0-628)] with expected peak @ (x:485.0, y:100)
[PokaPoka @ 938657ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(482.0-608)] with expected peak @ (x:482.0, y:100)
[PokaPoka @ 956153ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(479.0-586)] with expected peak @ (x:479.0, y:100)
[PokaPoka @ 968155ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(476.0-562)] with expected peak @ (x:476.0, y:100)
[PokaPoka @ 984079ms/46s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(473.0-536)] with expected peak @ (x:473.0, y:100)
[PokaPoka @ 435013ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-718)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 449875ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-718)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 463812ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-716)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 476810ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-712)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 489771ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-706)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 502740ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-698)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 517699ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-688)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 533160ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-676)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 546153ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-662)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 560151ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-646)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 573120ms/47s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-628)] with expected peak @ (x:404.0, y:100)
