[PokaPoka @ 55597ms/47s/35m/21h, 26d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 138901ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 138901ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 143887ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 143887ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 144884ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 144884ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 144884ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 145882ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 145882ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 145882ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 146881ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 146881ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 146881ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 147879ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 147879ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 148875ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 148875ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 149873ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 149873ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 149873ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 149873ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 150867ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 150867ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 150867ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 151865ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 151865ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 151865ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 152862ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 152862ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 152862ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 153867ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 153867ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 153867ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 154857ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 154857ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 158133ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
[PokaPoka @ 159127ms/47s/35m/21h, 26d/6mo/2021y] --> Drawing character Entity[rgb(255-255-255), size(50-50) @ pos(100-100)]
